businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
['三元里'],广州美哒科技有限公司,292943,美哒,少于15人,2018-11-14 17:54:52,白云区,不限,未融资,,Python爬虫,8K-16K
,广州龙骐贸易有限公司,65769,龙骐贸易,50-150人,2018-11-14 10:20:53,白云区,大专,不需要融资,电子商务,Python Web 爬虫工程师,10k-15k
"['东圃', '前进']",江苏传智播客教育科技有限公司广州分公司,121948,传智播客广州分校,150-500人,2018-11-08 15:05:28,天河区,大专,上市公司,教育,Python数据挖掘及人工智能机器学习讲师,20k-35k
"['石牌', '岗顶', '龙口']",广东蜂助手网络技术股份有限公司,25632,蜂助手,150-500人,2018-11-21 15:29:03,天河区,本科,上市公司,移动互联网,odoo开发工程师,15k-20k
,广州财略金融信息科技有限公司,35507,AI考拉,50-150人,2018-11-22 09:50:21,海珠区,大专,A轮,金融,后端开发工程师,10k-18k
"['小北', '建设']",广东三优教育科技有限公司,51097,三优亲子,50-150人,2018-11-21 13:02:11,越秀区,大专,不需要融资,"电子商务,社交网络",开发工程师,8k-14k
"['兴华', '沙河', '沙东']",广州机智云物联网科技有限公司,6921,机智云,150-500人,2018-11-22 19:13:47,天河区,大专,B轮,"移动互联网,硬件",大数据开发工程师,12k-22k
"['员村', '东圃', '棠下']",航天精一（广东）信息科技有限公司,16073,航天精一,150-500人,2018-11-22 09:23:32,天河区,本科,上市公司,"移动互联网,数据服务",研发总监（技术方向）,25k-35k
"['客村', '赤岗', '江海']",广州财略金融信息科技有限公司,35507,AI考拉,50-150人,2018-11-22 09:50:20,海珠区,本科,A轮,金融,数据开发工程师,8k-12k
"['东圃', '棠下', '车陂']",广东灵机文化传播有限公司,1175,灵机文化,150-500人,2018-11-22 11:42:36,天河区,本科,不需要融资,"移动互联网,电子商务",大数据开发工程师,20K-25K
"['岭南', '龙津', '陈家祠']",广州市新光百货有限公司,403600,新光百货,150-500人,2018-11-22 10:27:16,荔湾区,大专,不需要融资,其他,技术研发工程师,10k-15k
"['天园', '天河公园', '棠下']",广州市擎天柱网络科技有限公司,9619,擎天柱,150-500人,2018-11-22 08:53:08,天河区,本科,不需要融资,游戏,高级游戏服务端开发工程师,10k-20k
,广州市果肉教育科技有限公司,463302,广州市果肉教育科技有限公司,150-500人,2018-11-22 16:31:29,越秀区,本科,不需要融资,"移动互联网,教育",前端开发工程师,8k-16k
['大学城'],广州探迹科技有限公司,134745,探迹,150-500人,2018-11-22 17:21:33,番禺区,本科,A轮,"数据服务,企业服务",前端工程师,15k-25k
,广东健客医药有限公司,33059,健客网,500-2000人,2018-11-19 14:01:35,萝岗区,本科,B轮,"电子商务,医疗健康",推荐系统开发工程师,15k-25k
"['天河公园', '东圃', '棠下']",北京链易未来科技有限公司,332244,北京链易未来科技有限公司,15-50人,2018-11-21 14:31:53,天河区,本科,A轮,"金融,其他",后端工程师,15k-30k
